90404 9596Epoch 0	Train Loss: 0.006953304807969223	Elapsed time: 2.5738213062286377 
Epoch 1	Train Loss: 0.0066382115849625365	Elapsed time: 0.5357134342193604 
Epoch 2	Train Loss: 0.006624675394133084	Elapsed time: 0.5148677825927734 
Epoch 3	Train Loss: 0.006591101688788236	Elapsed time: 0.5089781284332275 
Epoch 4	Train Loss: 0.00655195679391814	Elapsed time: 0.547487735748291 
Epoch 5	Train Loss: 0.006509643361387113	Elapsed time: 0.5464746952056885 
Epoch 6	Train Loss: 0.006480156787227389	Elapsed time: 0.5356817245483398 
Epoch 7	Train Loss: 0.006440792367087124	Elapsed time: 0.5364832878112793 
Epoch 8	Train Loss: 0.0064093279873373805	Elapsed time: 0.5400540828704834 
Epoch 9	Train Loss: 0.006382142889315583	Elapsed time: 0.5033364295959473 
Epoch 10	Train Loss: 0.006353905683998238	Elapsed time: 0.5010344982147217 
Epoch 11	Train Loss: 0.006328903106001487	Elapsed time: 0.506035566329956 
Epoch 12	Train Loss: 0.0063042449062943725	Elapsed time: 0.5052416324615479 
Epoch 13	Train Loss: 0.006272064368865442	Elapsed time: 0.5055892467498779 
Epoch 14	Train Loss: 0.006243683454141296	Elapsed time: 0.49769115447998047 
Epoch 15	Train Loss: 0.00621650790298973	Elapsed time: 0.5006968975067139 
Epoch 16	Train Loss: 0.006191707750288956	Elapsed time: 0.5061783790588379 
Epoch 17	Train Loss: 0.00616876833534131	Elapsed time: 0.5323348045349121 
Epoch 18	Train Loss: 0.006147519686935085	Elapsed time: 0.5635871887207031 
Epoch 19	Train Loss: 0.006134341656700193	Elapsed time: 0.567969799041748 
Epoch 20	Train Loss: 0.006118120574765509	Elapsed time: 0.5123739242553711 
Epoch 21	Train Loss: 0.006091573703479442	Elapsed time: 0.5075335502624512 
Epoch 22	Train Loss: 0.006067631682549571	Elapsed time: 0.5219969749450684 
Epoch 23	Train Loss: 0.006046978078433451	Elapsed time: 0.5171632766723633 
Epoch 24	Train Loss: 0.006029684371343994	Elapsed time: 0.5003616809844971 
Epoch 25	Train Loss: 0.006014714398841289	Elapsed time: 0.4921882152557373 
Epoch 26	Train Loss: 0.005996805815289313	Elapsed time: 0.48793745040893555 
Epoch 27	Train Loss: 0.005973644026833969	Elapsed time: 0.48912906646728516 
Epoch 28	Train Loss: 0.005953166786640451	Elapsed time: 0.48572254180908203 
Epoch 29	Train Loss: 0.0059334991579641045	Elapsed time: 0.5544736385345459 
Epoch 30	Train Loss: 0.005914804207677889	Elapsed time: 0.5035197734832764 
Epoch 31	Train Loss: 0.0058969261741106515	Elapsed time: 0.5048840045928955 
Epoch 32	Train Loss: 0.005880432389256258	Elapsed time: 0.4937703609466553 
Epoch 33	Train Loss: 0.005866963237498979	Elapsed time: 0.4888191223144531 
Epoch 34	Train Loss: 0.005855564691129972	Elapsed time: 0.48651909828186035 
Epoch 35	Train Loss: 0.0058438523270050976	Elapsed time: 0.506558895111084 
Epoch 36	Train Loss: 0.005826849330025939	Elapsed time: 0.5259549617767334 
Epoch 37	Train Loss: 0.005808634297214068	Elapsed time: 0.495225191116333 
Epoch 38	Train Loss: 0.005791913164985332	Elapsed time: 0.4945826530456543 
Epoch 39	Train Loss: 0.0057762305792768065	Elapsed time: 0.4852283000946045 
Epoch 40	Train Loss: 0.005762846146762426	Elapsed time: 0.4881556034088135 
Epoch 41	Train Loss: 0.005750993158821405	Elapsed time: 0.49665069580078125 
Epoch 42	Train Loss: 0.005737957445521634	Elapsed time: 0.5229694843292236 
Epoch 43	Train Loss: 0.005729065247961	Elapsed time: 0.509286642074585 
Epoch 44	Train Loss: 0.005714349554500814	Elapsed time: 0.5170834064483643 
Epoch 45	Train Loss: 0.005700319964539387	Elapsed time: 0.5458168983459473 
Epoch 46	Train Loss: 0.005685656330531785	Elapsed time: 0.5036218166351318 
Epoch 47	Train Loss: 0.0056736452548589635	Elapsed time: 0.48691844940185547 
Epoch 48	Train Loss: 0.0056636638253364175	Elapsed time: 0.4842979907989502 
Epoch 49	Train Loss: 0.005658413640092281	Elapsed time: 0.501014232635498 


 Test MRR = 0.023789366402140764	Test Recall@10 = 0.04522717799082951


89904 9596
Epoch 0	Train Loss: 0.006897903449765769	Elapsed time: 0.5019063949584961 
Epoch 1	Train Loss: 0.006601988187271582	Elapsed time: 0.49475789070129395 
Epoch 2	Train Loss: 0.006591176802120423	Elapsed time: 0.4946024417877197 
Epoch 3	Train Loss: 0.006572153962237658	Elapsed time: 0.4967818260192871 
Epoch 4	Train Loss: 0.006526258438799088	Elapsed time: 0.4973924160003662 
Epoch 5	Train Loss: 0.006478549900969739	Elapsed time: 0.49934935569763184 
Epoch 6	Train Loss: 0.006435602871543	Elapsed time: 0.49567246437072754 
Epoch 7	Train Loss: 0.006403430121546221	Elapsed time: 0.49539613723754883 
Epoch 8	Train Loss: 0.006378735229837065	Elapsed time: 0.4983508586883545 
Epoch 9	Train Loss: 0.006348910610072022	Elapsed time: 0.49524593353271484 
Epoch 10	Train Loss: 0.006325296101610014	Elapsed time: 0.49500370025634766 
Epoch 11	Train Loss: 0.006301093205456887	Elapsed time: 0.4938812255859375 
Epoch 12	Train Loss: 0.0062765805168409836	Elapsed time: 0.4997246265411377 
Epoch 13	Train Loss: 0.006253061970902372	Elapsed time: 0.5073051452636719 
Epoch 14	Train Loss: 0.006228101542038857	Elapsed time: 0.5053515434265137 
Epoch 15	Train Loss: 0.006202430296758885	Elapsed time: 0.5050773620605469 
Epoch 16	Train Loss: 0.006176066777315359	Elapsed time: 0.5021231174468994 
Epoch 17	Train Loss: 0.006149918339519361	Elapsed time: 0.4968581199645996 
Epoch 18	Train Loss: 0.006124708396426553	Elapsed time: 0.492764949798584 
Epoch 19	Train Loss: 0.006102485013063277	Elapsed time: 0.4955623149871826 
Epoch 20	Train Loss: 0.006084881742816524	Elapsed time: 0.49422669410705566 
Epoch 21	Train Loss: 0.006075477797400805	Elapsed time: 0.4922969341278076 
Epoch 22	Train Loss: 0.006048423451744252	Elapsed time: 0.49297094345092773 
Epoch 23	Train Loss: 0.006020736722976717	Elapsed time: 0.4940047264099121 
Epoch 24	Train Loss: 0.005998033595946489	Elapsed time: 0.4963648319244385 
Epoch 25	Train Loss: 0.005977533040341161	Elapsed time: 0.4941890239715576 
Epoch 26	Train Loss: 0.005958044729446639	Elapsed time: 0.49018383026123047 
Epoch 27	Train Loss: 0.0059405793645539344	Elapsed time: 0.4929177761077881 
Epoch 28	Train Loss: 0.0059257350128769214	Elapsed time: 0.49698615074157715 
Epoch 29	Train Loss: 0.005915336367879862	Elapsed time: 0.49141502380371094 
Epoch 30	Train Loss: 0.005900946142283554	Elapsed time: 0.4910902976989746 
Epoch 31	Train Loss: 0.005879244318125532	Elapsed time: 0.49614834785461426 
Epoch 32	Train Loss: 0.005860802042757962	Elapsed time: 0.49222612380981445 
Epoch 33	Train Loss: 0.0058470840533871435	Elapsed time: 0.4918045997619629 
Epoch 34	Train Loss: 0.0058350178361214824	Elapsed time: 0.4971785545349121 
Epoch 35	Train Loss: 0.00581927639157943	Elapsed time: 0.49588942527770996 
Epoch 36	Train Loss: 0.005798941607745989	Elapsed time: 0.49437379837036133 
Epoch 37	Train Loss: 0.005782815501621598	Elapsed time: 0.49486684799194336 
Epoch 38	Train Loss: 0.005767709336091582	Elapsed time: 0.4913628101348877 
Epoch 39	Train Loss: 0.005755168429726192	Elapsed time: 0.4922928810119629 
Epoch 40	Train Loss: 0.005744879102342004	Elapsed time: 0.4953429698944092 
Epoch 41	Train Loss: 0.005735703816424911	Elapsed time: 0.49372220039367676 
Epoch 42	Train Loss: 0.005726105978234762	Elapsed time: 0.4981834888458252 
Epoch 43	Train Loss: 0.005718857882646166	Elapsed time: 0.49952149391174316 
Epoch 44	Train Loss: 0.005706396305936578	Elapsed time: 0.4984171390533447 
Epoch 45	Train Loss: 0.005694457778813555	Elapsed time: 0.4969606399536133 
Epoch 46	Train Loss: 0.005681634888060896	Elapsed time: 0.49895477294921875 
Epoch 47	Train Loss: 0.005667289845946421	Elapsed time: 0.4996984004974365 
Epoch 48	Train Loss: 0.005653405002818707	Elapsed time: 0.49587321281433105 
Epoch 49	Train Loss: 0.005640875876299914	Elapsed time: 0.4972691535949707 


 Test MRR = 0.02637116156903482	Test Recall@10 = 0.05137557315548145

